DateTime,SPX.GI,DJI.GI,IXIC.GI,GSPTSE.GI,IBOVESPA.GI,MERV.GI,MXX.GI,FTSE.GI,FCHI.GI,GDAXI.GI,FTSEMIB.FI,IBEX.GI,SSMI.GI,BFX.GI,AEX.GI,N225.GI,SENSEX.BO,STI.GI,AS51.GI,KS11.GI,000001.SH,399001.SZ,000300.SH,HSI.HI,NZ50.GI,SETI.GI,136647.MI,IPSA.GI,ISEQ.GI,BVLX.GI,KAX.GI,HEX.GI,OSEAX.GI,OMXS30.GI
2000/01/04,1399.42,10997.94,3901.69,8202.6,15851,522.97,6675.27,6665.9,5672.02,6586.95,40314,11206.6,7268.1,3172.21,642.25,19002.86,5491.01,2549.01,3093.7,1059.04,1406.371,3497.06,NaN,17072.82,NaN,498.46,NaN,1121.88,4940.21,2608.28,252.78,14184.92,177.024,1182.03
2000/01/05,1402.11,11122.66,3877.54,8119.42,16245.1396,532.68,6764.31,6535.9,5479.7,6502.07,39452,10863.1,7181.3,3057.53,632.31,18542.55,5357,2425.9,3018.7,986.31,1409.682,3486.285,NaN,15846.72,NaN,465.85,NaN,1124.06,4893.01,2537.69,246.98,13012.04,172.38,1131.3
2000/01/06,1403.45,11253.27,3727.13,8114.24,16106.8896,528.47,6751.65,6447.2,5450.11,6474.92,38835,10863.1,7280.6,3061.09,624.21,18168.27,5421.53,2409,2999.3,960.79,1463.942,3655.199,NaN,15153.23,NaN,443.46,NaN,1120.54,4893.8,2598.79,249.47,13012.04,173.991,1131.3
2000/01/07,1441.47,11522.56,3882.62,8429.42,16309.1504,522.12,7047.09,6504.8,5539.61,6780.96,40194,11102.4,7448,3138.55,644.86,18193.41,5414.48,2449.96,3023.4,948.65,1516.604,3828.04,NaN,15405.63,NaN,453.31,NaN,1127.58,4913.76,2649.62,251.79,13539.92,177.515,1152.54
2000/01/10,1457.6,11572.2,4049.67,8602.5,17022.1309,519.97,7333.7,6607.7,5646.12,6925.52,39711,11173.3,7452.8,3203.75,655.14,18193.41,5518.39,2457.59,3084,987.24,1545.112,3921.484,NaN,15848.15,NaN,459.47,NaN,1146.9,5010.44,2686.5,256.63,13857.37,181.78,1181.44
2000/01/11,1438.56,11511.09,3921.19,8442.61,16572.7207,520.89,7143.13,6518.9,5613.9,6891.25,39870,11012.4,7420.1,3148.9,648.94,18850.92,5296.3,2449.74,3160.8,981.33,1479.781,3716.784,NaN,15862.1,NaN,452.48,NaN,1142.03,5048.09,2694.27,257.89,13700.38,180.814,1190.34
2000/01/12,1432.25,11551.11,3850.02,8359.96,16616.8691,518.7,7174.1,6532.8,5582.5,6912.81,40289,10851.8,7440.2,3110.25,638.4,18677.42,5491.2,2452.61,3088.4,955.01,1438.02,3605.825,NaN,15714.2,NaN,459.62,NaN,1153.54,5072.37,2697.17,254.17,13591.95,177.966,1190.15
2000/01/13,1449.68,11582.44,3957.21,8417.94,17298.0703,560.07,7274.52,6531.5,5633.24,6955.98,40499,10931.9,7436.9,3133.58,642.21,18833.29,5444.82,2412.51,3078.9,951.05,1424.442,3580.982,NaN,15633.96,NaN,458.4,NaN,1196.08,5031.4,2739.64,256.4,14063.55,180.774,1195.48
2000/01/14,1465.15,11722.98,4064.27,8357.46,17657.9492,566.08,7381.49,6658.2,5787.44,7173.22,41588,11184,7513.9,3128.5,655.6,18956.55,5471.27,2418.57,3115.4,948.03,1408.848,3542.82,NaN,15542.23,NaN,474.37,NaN,1214.33,5063.82,2739.64,256.24,14602.51,182.161,1217.95
2000/01/17,1465.15,11722.98,4064.27,8479.27,18053.2207,567.74,7447.12,6669.5,5842.78,7258.9,41546,11285.6,7507,3074.18,661.51,19437.23,5404.07,2367.16,3121.5,983.27,1433.33,3594.649,NaN,15574.56,NaN,477.09,NaN,1229.55,5072.9,2843.83,257.75,14826.94,182.134,1245.69
2000/01/18,1455.14,11560.73,4130.81,8589.65,17903.2305,577.9,7303.32,6504.6,5672.95,7072.12,41109,11066.3,7384.1,2972.1,647.72,19196.57,5464.51,2343.04,3128,981.53,1426.623,3571.974,NaN,15789.2,NaN,484.16,NaN,1217.36,5094.54,2863.44,253.25,14497.43,181.942,1215.4
2000/01/19,1455.9,11489.37,4151.29,8635.07,17470.2402,581.52,7171.2,6445.4,5649.46,7091.04,41436,11120.7,7336.8,2977.53,642.59,18897.75,5478.24,2286.65,3080.5,938.78,1440.724,3603.857,NaN,15275.34,NaN,486.33,NaN,1210.76,4973.83,2840.92,252.77,14294.27,181.9,1213.77
